year,Crash Month,dayweek,co_char,roadclass,weather,lightcond,numfatal,intersectiontype,wk_zone,spdlim,hitrun_inv,dralc_inv,aid_inv,did_inv,id_inv,impnm_inv,nmalc_inv,ainm_inv,dinm_inv,speed_inv,unlic_inv,drowsy_inv,dr1517_inv,dr1820_inv,dr1520_inv,dr2124_inv,dr1524_inv,dr65_inv,dr70_inv,dr75_inv,wrongway,oppdir
2022,7,Saturday,Okanogan,County road,1,1,1,1,0,98,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,10,Saturday,Ferry,County road,1,1,1,1,0,98,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2022,5,Saturday,Pend Oreille,County road,10,1,1,1,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,11,Saturday,King,City street,1,1,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12,Friday,King,City street,1,3,1,1,0,40,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,8,Tuesday,Pend Oreille,County road,1,5,1,1,0,50,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
2022,8,Monday,Clallam,County road,1,1,1,1,0,25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,9,Wednesday,Spokane,County road,1,1,1,4,0,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
2022,7,Sunday,Yakima,US highway,1,1,1,2,0,55,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022,11,Sunday,Yakima,County road,10,2,1,1,0,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
